year,region,region_oktmo,city,city_oktmo,air_general_level,air_standard_index,air_repeatability,air_qcp,air_solid_emissions,air_so_emissions,air_no_emissions,air_co_emissions,air_population,air_stantions
2010,Удмуртская Республика,94000000,САРАПУЛ,94740000,-9,No substance,No substance,No substance,0.1,0.13,2.5,10.0,104.2,1
2010,Ульяновская область,73000000,УЛЬЯНОВСК,73701000,3,No substance,No substance,"Ф, БП, NO2",1.14,1.5,14.6,46.2,604.0,4
2010,Хабаровский край,08000000,КОМСОМОЛЬСК-НА-АМУРЕ,08709000,3,No substance,No substance,"ВВ, БП, Ф NO2",3.6,2.2,9.9,19.7,269.8,4+2
2010,Хабаровский край,08000000,НИКОЛАЕВСК-НА-АМУРЕ,08631101,-9,No substance,No substance,"ВВ, NO2",0.4,0.2,1.5,2.8,24.5,1
2010,Хабаровский край,08000000,ХАБАРОВСК,08701000,3,No substance,No substance,"ВВ, БП, Ф",19.2,14.3,28.1,52.7,580.7,4
2010,Хабаровский край,08000000,ЧЕГДОМЫН,08614151,3,No substance,No substance,"ВВ, БП, Ф",7.1,0.6,0.2,4.2,14.2,1
2010,Ханты-Мансийский автономный округ — Югра,71800000,БЕЛОЯРСКИЙ,71811151,4,Ф,No substance,Ф,0.028,0.01,2.33,5.58,20.2,1
2010,Ханты-Мансийский автономный округ — Югра,71800000,БЕРЕЗОВО,71812000,3,No substance,No substance,Ф,0.36,0.12,6.26,9.5,7.0,1
2010,Ханты-Мансийский автономный округ — Югра,71800000,НЕФТЕЮГАНСК,71874000,3,No substance,No substance,Ф,0.06,0.01,0.3,0.18,119.2,1
2010,Ханты-Мансийский автономный округ — Югра,71800000,НИЖНЕВАРТОВСК,71875000,2,No substance,No substance,"Ф, NO2",2.1,0.2,1.66,13.2,248.4,2
2010,Ханты-Мансийский автономный округ — Югра,71800000,РАДУЖНЫЙ,71877000,3,No substance,No substance,Ф,0.003,0.005,0.075,0.27,48.1,1
2010,Ханты-Мансийский автономный округ — Югра,71800000,СУРГУТ,71876000,3,No substance,No substance,"Ф, БП",0.97,0.4,43.9,20.98,302.2,2+4
2010,Ханты-Мансийский автономный округ — Югра,71800000,ХАНТЫ-МАНСИЙСК,71871000,1,No substance,No substance,Ф,0.04,0.01,0.16,0.41,74.9,1
2010,Челябинская область,75000000,ЗЛАТОУСТ,75712000,3,No substance,No substance,"БП, Ф, ВВ, NO2",0.77,0.43,4.7,11.1,189.4,2
2010,Челябинская область,75000000,МАГНИТОГОРСК,75738000,4,"БП, ЭБ",No substance,"БП, Ф, ВВ, NO2",26.3,23.1,37.3,185.2,407.0,5
2010,Челябинская область,75000000,ЧЕЛЯБИНСК,75701000,3,No substance,No substance,"БП, Ф, NO2",20.4,9.5,47.8,127.0,1090.0,8
2010,Чувашская Республика,97000000,НОВОЧЕБОКСАРСК,97710000,3,No substance,No substance,"БП, Ф",0.02,0.3,2.52,7.4,127.7,2
2010,Чувашская Республика,97000000,ЧЕБОКСАРЫ,97701000,3,No substance,No substance,"БП, Ф",0.2,0.95,9.5,31.7,459.5,4
2010,Ямало-Ненецкий автономный округ,71900000,САЛЕХАРД,71951000,3,No substance,No substance,"БП, Ф",0.13,0.2,2.6,3.44,43.5,1
2010,Ярославская область,78000000,ПЕРЕСЛАВЛЬ-ЗАЛЕССКИЙ,78705000,1,No substance,No substance,No substance,0.01,0.0,0.1,0.1,42.2,1
2010,Ярославская область,78000000,РЫБИНСК,78715000,1,No substance,No substance,БП,0.6,0.6,5.1,14.7,206.7,2
2010,Ярославская область,78000000,ЯРОСЛАВЛЬ,78701000,1,No substance,No substance,"БП, NO2",2.2,10.7,24.3,54.6,606.9,5
